ƒ,Long_Title,Subtitle,Currency,ISA_eligible,ISIN,MIC,Symbol,Fractional_Enabled,PLUS_only,for_Ireland_investors,for_Netherlands_investors,DUTCH_KIID_URL
FTSE Japan,Vanguard FTSE Japan UCITS ETF (Dist.),Large Japanese companies,GBP,TRUE,IE00B95PGT31,XLON,VJPN,FALSE,FALSE,TRUE,TRUE,
S&P 500 Materials,iShares S&P 500 Materials Sector UCITS ETF USD (Acc.),US Materials Cos.,GBP,TRUE,IE00B4MKCJ84,XLON,IMSU,FALSE,FALSE,TRUE,FALSE,
S&P 500,iShares Core S&P 500 UCITS ETF,500 large US stocks,GBP,TRUE,IE00BD8KRH84,XLON,GSPX,FALSE,FALSE,TRUE,TRUE,
EURO STOXX 50,iShares EURO STOXX 50 UCITS ETF (Acc.),Biggest Euro companies,GBP,TRUE,IE00B53L3W79,XLON,CS51,FALSE,FALSE,TRUE,TRUE,
£ Corp Bond 0-5yr,iShares £ Corp Bond 0-5yr UCITS ETF (Dist.),Short term UK company debt,GBP,TRUE,IE00B5L65R35,XLON,IS15,FALSE,FALSE,TRUE,FALSE,
USA SRI,iShares MSCI USA SRI UCITS ETF USD (Acc.),US ESG leaders,GBP,TRUE,IE00BYVJRR92,XLON,SUUS,FALSE,FALSE,TRUE,FALSE,
S&P 500,Vanguard S&P 500 UCITS ETF USD (Acc.),500 large US stocks,GBP,TRUE,IE00BFMXXD54,XLON,VUAG,FALSE,FALSE,TRUE,FALSE,
Seagate,Seagate Technology plc,Hard drives,USD,TRUE,IE00B58JVZ52,XNAS,STX,TRUE,FALSE,TRUE,TRUE,
MSCI World Small Cap,iShares MSCI World Small Cap UCITS ETF USD,Global small cap stocks,GBP,TRUE,IE00BF4RFH31,XLON,WLDS,FALSE,FALSE,TRUE,TRUE,
Gold Mining,Legal & General Gold Mining UCITS ETF USD (Acc.),Gold Miners,GBP,TRUE,IE00B3CNHG25,XLON,AUCP,FALSE,TRUE,TRUE,FALSE,
US Gvt Bnd 7-10yr,Invesco US Treasury Bond 7-10 Year UCITS ETF GBP Hedged,Uncle Sam's debt,GBP,TRUE,IE00BF2FNB90,XLON,TRXS,FALSE,FALSE,TRUE,TRUE,
US HY Corp Bond,iShares $ High Yield Corp Bond UCITS ETF GBP Hedged (Dist),Hedged high yield US corp debt,GBP,TRUE,IE00BDFJYL11,XLON,IHHG,FALSE,FALSE,TRUE,TRUE,
$ Corp Bond,iShares $ Corp Bond UCITS ETF USD (Dis.),US dollar corporate debt,GBP,TRUE,IE0032895942,XLON,LQDS,FALSE,FALSE,TRUE,FALSE,
S&P 500 Financials,iShares S&P 500 Financials Sector UCITS ETF (Acc),Financial companies,GBP,TRUE,IE00B4JNQZ49,XLON,UIFS,FALSE,FALSE,TRUE,TRUE,
MSCI USA Islamic,iShares MSCI USA Islamic UCITS ETF USD (Dist),Sharia compliant stocks,GBP,TRUE,IE00B296QM64,XLON,ISUS,FALSE,FALSE,TRUE,FALSE,
$ Corp Bond 1-3yr,Vanguard USD Corporate 1-3 Year Bond UCITS ETF (Dist.),US dollar corporate debt,GBP,TRUE,IE00BDD48R20,XLON,VUSC,FALSE,FALSE,TRUE,FALSE,
Momentum factor,iShares Edge MSCI World Momentum Factor UCITS ETF (Acc),MSCI world stocks,GBP,TRUE,IE00BP3QZ825,XLON,IWFM,FALSE,FALSE,TRUE,TRUE,
£ Corp Bond,iShares Core £ Corp Bond UCITS ETF (Dist.),Investment-grade company debt,GBP,TRUE,IE00B00FV011,XLON,SLXX,FALSE,FALSE,TRUE,TRUE,
Wix,Wix.com Ltd,DIY websites,USD,TRUE,IL0011301780,XNAS,WIX,TRUE,FALSE,TRUE,TRUE,
AudioCodes,AudioCodes,Telecoms,USD,TRUE,IL0010829658,XNAS,AUDC,TRUE,FALSE,TRUE,TRUE,
Silicom,Silicom Ltd.,Network solutions,USD,TRUE,IL0010826928,XNAS,SILC,TRUE,FALSE,TRUE,TRUE,
InMode,Inmode Ltd,Medical tech,USD,TRUE,IL0011595993,XNAS,INMD,TRUE,TRUE,TRUE,TRUE,
CaesarStone,CaesarStone Sdot-Yam Ltd.,Shiny quartz countertops,USD,TRUE,IL0011259137,XNAS,CSTE,TRUE,FALSE,TRUE,TRUE,
Nova Measuring,Nova Measuring Instruments Ltd,Metrology devices,USD,TRUE,IL0010845571,XNAS,NVMI,TRUE,FALSE,TRUE,TRUE,
Stratasys,Stratasys Ltd,3D printers,USD,TRUE,IL0011267213,XNAS,SSYS,TRUE,FALSE,TRUE,TRUE,
Plus500,Plus500 Ltd,Spread betting and CFDs,GBP,TRUE,IL0011284465,XLON,PLUS,FALSE,FALSE,TRUE,TRUE,
Ceragon,Ceragon Networks Ltd,Connecting connectors,USD,TRUE,IL0010851660,XNAS,CRNT,TRUE,FALSE,TRUE,TRUE,
Nano-X,Nano-X Imaging Ltd,Cheap X-rays,USD,TRUE,IL0011681371,XNAS,NNOX,TRUE,FALSE,TRUE,TRUE,
Fiverr,Fiverr International Ltd,Freelance gigs,USD,TRUE,IL0011582033,XNYS,FVRR,TRUE,FALSE,TRUE,TRUE,
Elbit Systems,Elbit Systems Ltd,Defence,USD,TRUE,IL0010811243,XNAS,ESLT,TRUE,FALSE,TRUE,TRUE,
Tremor Int.,Tremor International Ltd,Advertising tech,GBP,TRUE,IL0011320343,XLON,TRMR,FALSE,FALSE,TRUE,TRUE,
Kornit Digital,Kornit Digital,Textiles,USD,TRUE,IL0011216723,XNAS,KRNT,TRUE,FALSE,TRUE,TRUE,
BATM,BATM Advanced Communications Ltd,Cybersecurity and Biomed,GBP,TRUE,IL0010849045,XLON,BVC,FALSE,TRUE,TRUE,TRUE,
NICE,NICE Systems Ltd (ADR),Tech,USD,FALSE,US6536561086,XNAS,NICE,TRUE,FALSE,TRUE,TRUE,
JFrog,JFrog Ltd,DevOps tech,USD,TRUE,IL0011684185,XNAS,FROG,TRUE,FALSE,TRUE,TRUE,
GVC,GVC Holdings plc,Gambling,GBP,TRUE,IM00B5VQMV65,XLON,GVC,FALSE,FALSE,TRUE,TRUE,
RDI,RDI REIT plc,Hotel REIT,GBP,FALSE,IM00BH3JLY32,XLON,RDI,FALSE,TRUE,FALSE,FALSE,
Agronomics,Agronomics,Investment company,GBP,TRUE,IM00B6QH1J21,XLON,ANIC,FALSE,TRUE,TRUE,TRUE,
Eros STX Global,Eros STX Global Corporation,Bollywood movies,USD,TRUE,IM00B86NL059,XNYS,ESGC,TRUE,FALSE,TRUE,TRUE,
Strix,Strix Group plc,Kettles,GBP,TRUE,IM00BF0FMG91,XLON,KETL,FALSE,FALSE,TRUE,TRUE,
Playtech,Playtech plc,Online gambling,GBP,TRUE,IM00B7S9G985,XLON,PTEC,FALSE,FALSE,TRUE,TRUE,
Infosys,Infosys Ltd,IT consulting,USD,FALSE,US4567881085,XNYS,INFY,TRUE,FALSE,TRUE,TRUE,
Tata Motors,Tata Motors Ltd,Cars,USD,FALSE,US8765685024,XNYS,TTM,TRUE,FALSE,TRUE,TRUE,
Wipro,Wipro Ltd (ADR),IT consulting,USD,FALSE,US97651M1099,XNYS,WIT,TRUE,FALSE,TRUE,TRUE,
